name,price,description,timestamp
«Темура Тори Чикен-Бекон»,429.0,"Состав: сырная лепешка, сыр, бекон, кура в/к, огурец, томат, пекинская капуста, фирменный соус",2026-09-17T11:56:51.032070+00:00
Блэк Дэвил,499.0,"Состав: сливочный сыр, креветка, крабовое мясо, авокадо, фирменный соус Блэк",2026-09-17T11:56:52.065838+00:00
Блэк Чикен,479.0,"Состав: рис, сыр, курочка в/к, огурец, фирменный соус Блэк.    310 грамм",2026-09-17T11:56:52.838849+00:00
запеченные роллы «Ями с крабом и огурцом»,450.0,"Состав: рис, замес краба, огурец, шапка Ями",2026-09-17T11:56:53.819848+00:00
запеченный «Бекон Гриль»,450.0,"Состав: бекон, рис, сыр, кура в/к, болгарский перец, соус гриль   вес: 255 грамм",2026-09-17T11:56:54.940471+00:00
запеченный «Чикен Лав»,450.0,"Состав: рис, сыр, огурец, Кура в/к, соус гриль  240 грамм",2026-09-17T11:56:55.821283+00:00
запеченный «Ями с креветкой и огурцом»,450.0,"Состав: рис, креветка, огурец, шапка Ями",2026-09-17T11:56:56.943850+00:00
запеченный «Ями с курицей и огурцом»,429.0,"Состав: рис, курица в/к, огурец, шапка Ями",2026-09-17T11:56:58.063906+00:00
запеченный «Ями с лососем и огурцом»,450.0,"Состав: рис, лосось, огурец, шапка Ями",2026-09-17T11:56:59.176779+00:00
запеченный ролл » Сяке-Манго»,580.0,"
Состав: рис, сыр, лосось, манго, соуса, Чили нити
280 грамм",2026-09-17T11:57:00.271668+00:00
запеченный ролл «Мон Ами»,550.0,"Состав: рис, сыр, креветка в кляре, айсберг, лосось. 300 грамм",2026-09-17T11:57:02.071239+00:00
запеченный ролл «Хосяке»,495.0,"Состав: рис, лосось, креветка, огурец, соус Юки, ореховый соус, Унаги, микрозелень при наличии",2026-09-17T11:57:03.188602+00:00
запеченный ролл «Чикен-Бэлл»,460.0,"Состав: рис, сыр, огурец, курочка, кунжут, шапка белая, черри
270 грамм",2026-09-17T11:57:04.339902+00:00
запеченный ролл «Эби»,499.0,"Состав: рис, креветка, омлет японский, сыр, сырная шапочка, ореховый и унаги соуса 270 грамм",2026-09-17T11:57:05.448146+00:00
Кальцоне «Адыгейская»,690.0,"Состав: Сливочный соус, моцарелла, адыгейский сыр, сулугуни, яйцо, пармезан",2026-09-17T11:57:06.469945+00:00
Кальцоне «Аллоха»,690.0,"Состав: Сливочный соус, фирменный соус, моцарелла, курочка в/к, охотничьи колбаски, огурчик свежий, томат, яйцо, голландский сыр, украшение укропчик",2026-09-17T11:57:08.395384+00:00
Кальцоне «Бьянка»,680.0,"Состав: сливочный соус, моцарелла, курица В/к, яйцо, томаты, лук зеленый, голландский сыр, украшение укропчик",2026-09-17T11:57:09.359532+00:00
Кальцоне «Качатте»,680.0,"Состав: Сливочный соус, песто, моцарелла, Шампиньоны, курочка в/к, яйцо, голландский сыр, соус Цезарь, украшение укропчик",2026-09-17T11:57:10.202795+00:00
Кальцоне «Пикантье» острая,690.0,"Состав: Сливочный соус, моцарелла, курочка в/к, бекон, халапеньо, томат, яйцо, голландский сыр, соус спайси, украшение укропчик",2026-09-17T11:57:11.208405+00:00
Кальцоне «Салмоне»,725.0,"Состав: Сливочный соус, моцарелла, лосось с/с, черри, пармезан, лук зеленый, украшение укропчик",2026-09-17T11:57:12.108838+00:00
